"Autor","Titulo","Cantidad","No. Dewey","Fecha","ISBN","tema","Info de publicación","Notas"
"Unknown","La vida  ¿cómo se presento aqui? ¿Por evolucion, o por creacion?",2,"291 Vid",1985,"[]","testigos de Jehova,sectas","Watch tower (1985), Hardcover",
"Urbina, Luis G.","La Vida Literaria de México y la Literatura Mexicana Durante la Guerra de la Independencia","1","860 Urb",,,"Literatura en Español","Editorial Porrúa",
"Ureta, Floreal","Introduccion a la Teología Contemporanea",1,"210 Ure",2003,311091326,"teologia contemporanea","Casa Bautista de Publicaciones (2003), Paperback, 192 pages",
"Valbuena, Miguel","La Iglesia Católica ante la Biblia y la Historia","1","282  Val",,,"Catolicismo","Editorial Moody",
"Valmiki","El Ramayana",1,"N Fic Val",1984,"[8426432042]","ficcion","Lectorum Pubns Inc (J) (1984), Hardcover",
"Van Baalen, J. K.","El Caos de las Sectas","3","290 Van",,,"Sectas","Tell",
"Vandemen, Jorge E.","Vamos a la Destrucción Universal?","1","248.5 Van",,,"Evangelismo","Publicaciones Interamericanas",
"VanderVelde, Frances","Mujeres de la Biblia: Women of the Bible","2","200 Van","1990",825418011,"mujeres, personajes biblicos,","Editorial Portavoz (1990), Paperback, 272 pages",
"Varetto, Juan C.","Bosquejos para Sermones","1","252.1 Var","1940",,"Sermones","Junta Bautista de Publicaciones",
"Varetto, Juan C.","Bosquejos para Sermones","1","252.1 Var","1955",,"Sermones","Editorial Evangélica Bautista",
"Varetto, Juan C.","Bosquejos para Sermones","1","252.1 Var","1948",,"Sermones","Junta Bautista de Publicaciones",
"Varetto, Juan C.","Bosquejos para Sermones, Tomo I","1","252.1 Var Vol.1",,,"Sermones","Junta Bautista de Publicaciones",
"Vaughn, John","Mas Precioso que el Oro","3","298.1 Vau",,,"Biografia","Frontline Press",
"Vazquez, Josefina Zoraida","Juarez, El Republicano",1,"900 Vaz",2006,"[9709765027]","historia,Mexico","SEP (2006), Paperback, 125 pages",
"Velazquez, Jose M.","Curso Elemental De Psicologia","1","468 Vel","1999","968403024X","psicologia","Editorial Diana, S.A. (1999), Paperback",
"Vigeveno, H. S.","Jesús el Revoluvcionario","1","232  Vig",,,"Jesús","Editorial Libertador",
"Vila, Samuel","Cuando El Venga","1","220.15 Vil",,,"la Biblia y el Medio Oriente","Clie",
"Vila, Samuel","Enciclopedia de anécdotas vol. 1","2","252.2 Vil","2005",8482673564,"sermones","Editorial Clie (2005), Paperback, 576 pages",
"Vila, Samuel","Enciclopedia de citas morales y religiosas (Literatura evangelica)","1","252.3 Vil","1976",8472282511,"sermones","Clie (1976), Edition: 1. ed, Hardcover, 452 pages",
"Vila, Samuel","Enciclopedia de topicos, concordancias y bosquejos biblicos (Literatura evangelica)","1","252.4 Vil","1976",8472280527,"sermones","Clie (1976), Edition: 1. ed, Unknown Binding, 418 pages",
"Vila, Samuel","Espiritismo y los Fenómenos Metafísicos","1","293  Vil",,,"Sectas","CLIE",
"Vila, Samuel","Historia de la Inquisicion y la reforma en Espana",2,"272.46 Vil",1977,"[8472283321]","inquisicion,reforma,historia cristiana","Clie (1977), Unknown Binding, 364 pages",
"Vila, Samuel","Las Teologias Modernas y la Biblia",2,"210 Vil",,,"Teologia Moderna","Clie",
"Vila, Samuel","Manual de homilética","1","251 Vil","2005","848267403X","homiletica","Editorial Clie (2005), Paperback, 236 pages",
"Vila, Samuel","Manual de Visitación Pastoral","1","253.2 Vil",,,"Visitación","Clie",
"Vila, Samuel","Nuevo diccionario bíblico ilustrado","1","220.3 Vil","1985",8476450494,"diccionario biblico,referencia","Terrassa : Clie, DL 1985","donado por Tap Y Katie Hornor, 2008"
"Vila, Samuel","Origen e Historias de las Denominaciones Cristianas","1","284  Vil",,,"Denominaciones","Clie",
"Vila, Samuel","Pruebas tangibles de la existencia de Dios",1,"239 Vil",1973,8472280152,"apologia","CLIE (1973), Edition: 7. ed, Unknown Binding, 206 pages",
"Vila, Samuel","Pulpito Cristiano","2","252 Vil","1972",8472280403,"sermones","CLIE (1972), Paperback","donado por la IB Fund de la Fe, Oct 2008"
"Vila, Samuel","Sermones Escogidos","1","252  Vil",,,"Sermones","Clie",
"Vine, W. E.","Diccionario Expositivo De Palabras Del Nuevo Y Antiguo Testamento De VineÂ¿s Vol II",1,"220.33 Vin Vol II",1998,899224954,"referencia,griego","Grupo Nelson (1998), Hardcover, 1632 pages",
"Vine, W. E.","Diccionario Expositivo De Palabras Del Nuevo Y Antiguo Testamento De VineÂ¿s Vol. I",1,"220.33 Vin Vol I",1998,899224954,"referencia,griego","Grupo Nelson (1998), Hardcover, 1632 pages",
"Vine, W. E.","Diccionario Expositivo De Palabras Del Nuevo Y Antiguo Testamento De VineÂ¿s Vol. III","1","220.33 Vin Vol III","1998",899224954,"referencia,griego","Grupo Nelson (1998), Hardcover, 1632 pages",
"Vine, W. E.","Diccionario Expositivo De Palabras Del Nuevo Y Antiguo Testamento De VineÂ¿s Vol. IV","1","220.33 Vin Vol IV","1998",899224954,"referencia,griego","Grupo Nelson (1998), Hardcover, 1632 pages","donado por Tap Y Katie Hornor, 2008"
"Vins, Georgi","Konshaubi - Una Historia Verdadera De Los Creyentes Persiguidos En La Union Sovietica","1","298.47 Vin",,"[]","biografia","Editorial Bautista Independiente",
"vivaldi, martin","Curso Práctico De Redacción",1,"465.2 Viv",1960,"[]","redaccion,idioma","Paraninfo (1960), Hardcover",
"Vox","Vox New College Spanish and English Dictionary (Vox Dictionary)","2","463.21 Vox","2008","[0071547886]","idioma, referencia","McGraw-Hill (2008), Edition: 2, Hardcover, 1504 pages",
"Wagner, E. Glenn","El Corazón de un hombre de Dios… Disciplinas prácticas para la vida espiritual de un hombre.","1","261.5 Wag",,,"Cristianismo/Disciplina","Editorial Unilit",
"Wagner, Peter C.","Sus dones espiriturales pueden ayudar...","1","268 Wag","2004",8472285146,"dones espirituales","Editorial Clie (2004), Paperback, 272 pages",
"Wagnoer, C. Peter","Una Iglesia Dinámica entre una Generación Desordenada","1","288 Wag",,,"Iglesia Carismática","Tell",
"Wagoner, Henry","Conociendo la Biblia","1","220.61 Wag",,,"Método de Estudio Bíblico","La Aurora",
"Walker, Guillermo","Revelación Progresiva","1","220.61 Wal",,,"Estudio Bíblico","Publicaciones Españolas",
"Walker, Luisa Jeter de","Métodos de Enseñanza (Nueva Edición)","2","268.4 Wal","1996","[0829718427]","ensenanza","Vida (1996), Edition: Spanish, Paperback, 144 pages",
"Walker, William H.","Conquistará Rusia al mundo","1","236 Wal","1967",,"Escatología","Publicaciones Juventud",
"Wallace, Lew","Ben Hur (Spanish Language Edition)","1","Fic Wal","1986","[0311370128]","ficción, história cristiana","Casa Bautista of Pubns (1986), Paperback",
"Walvoord, John","Filipenses: Triunfo en Cristo: Phillippians: Triumph of Christ (Comentario bIblico P)",1,"220 Wal",1980,825418526,"filipenses","Editorial Portavoz (1980), Paperback, 120 pages",
"Walvoord, Juan F.","Armagedón","1","236 Wal","1975",,"Escatología","Editorial Vida",
"Wand, J. W. C.","Lo que Verdaderamente dijo San Pablo","1","257 Wan",,,"Pablo","M. Aguilar, Editor, S.A.",
"Warner, Harvey C.","¿Por qué estamos en el mundo?/La Dinámica de la Renovación Espiritual","1","262.8 War",,,"La Iglesia","Editorial Libertador",
"Wes","Semones, Tomo II",2,"252   Wes  Vol.2",,,"Sermones","Casa Nazarena de Publicaciones",
"Wesley, Juan","Sermones, Tomo I",2,"252   Wes   Vol.1",,,"Sermones","Casa Nazarena de Publicaciones",
"Wheat, Ed","El Amor Que No Se Apaga",1,"291 Whe",1992,881130109,"matrimonio,familia,esposo,esposa,","Grupo Nelson (1992), Paperback, 224 pages",
"Wheat, Gaye De","El Placer Sexual Ordenado Por Dios","1","613 Whe","1992","[0881133205]","matrimonio,esposo,esposa,sexo,","Grupo Nelson (1992), Paperback, 224 pages","uno donado por Victor Barrera"
"Whitcomb, John C.","Daniel: Daniel (Everyman's Bible Commentary)",2,"220 Whi",1988,825418658,"comentario biblico,daniel","Editorial Portavoz (1988), Paperback, 192 pages",
"Whitcomb, John C.","Ester: el triunfo de la soberania de Dios",1,"220.9 Whi",1982,825418666,"comentario biblico,ester,","Editorial Portavoz (1982), Paperback, 160 pages",
"Whitcomb, John C.","Mundo que perecio, El: World That Perished, The",2,"220 Whi",1991,825418674,"genesis,diluvio","Editorial Portavoz (1991), Paperback, 176 pages",
"Whitcomb, John C.","Tierra primitiva, La: The Early Earth","2","230 Whi","1994",825418682,"creacion,ciencia","Editorial Portavoz (1994), Paperback, 176 pages",
"Whitcomb, Norma A.","Esos Dinosaurios Misteriosos","1","213 Whi",,,"Creacion, Dinosaurios","Editorial Portavoz",
"White, Douglas Malcom","Predicacion Expositiva: The Excellence of Exposition","1","251 Whi","1982",311420613,"homiletica","Casa Bautista de Publicaciones (1982), Hardcover, 160 pages",
"White, E. B.","La telarana de Carlota","1","fic Whi","2005","[006075740X]","ficcion,ninos","Rayo (2005), Paperback, 224 pages",
"White, E. G. de","El gran conflicto",1,"270 Whi",1984,"[]","historia de la iglesia","Asociacion Casa Editora Sudamericana (1984), Paperback",
"White, J. H.","Evangelización o Lavado Cerebral?","1","248.5 Whi",,,"Evangelismo","Ediciones Certeza",
"White, John Wesley","Retorno","1","236.5 Whi",,,"Segunda Venida de Cristo","Editorial Vida",
"White, Paul","El Médico y el Veneno","1","298.6 Whi",,,"Biografía","Junta Bautista de Publicaciones",
"Wieland, Arthur","El Niño Aprende a Escribir","1","268.4 Wie",,,"Pedagogía","Ediciones Paulina",
"Wiersbe, Warren W.","Estar Siempre Gozosos: Estudio  Expositivo de la Epístola a los Fiflipenses","1","227.6  Wie",,,"Filipenses","Editorial Bautista Independiente",
"Wiersbe, Warren W.","Genuinos en Cristo: Estudio Expositivo de la 1 Epistola de Juan","1","227.94  Wie",,,"1 de Juan","Editorial Bautista Independiente",
"Wiersbe, Warren W.","Usted Puede Estar Preparado: Estudio de las Epístolas a los Tesalonicenses","1","227.812  Wie",,,"Tesalonicenses","Editorial Bautista Independiente",
"Wiersbe, Warren W.","Usted Puede Ser Libre","1","227.4 Wie",,,,,
"Wiersbe, Warren W.","Usted Puede Ser Real: Estudio Expositivo de la Primera Epístola de Juan","1","227.94   Wie",,," 1 de Juan","Editorial Bautista Independiente",
"Wight, Fred","Usos y costumbres de las tierras bíblicas: Manners and Customs of Bible Lands",2,"291 Wig",1981,825418739,"tiempos bíblicos","Editorial Portavoz (1981), Paperback, 336 pages",
"Wilder, Laura Ingalls","La casa de la pradera / Little House on the Prairie",1,"fic Wil",1996,"[8427931956]","ficcion,ninos","Lectorum Publications (1996), Paperback",
"Wilkinson, Bruce","Las Siete leyes del aprendizaje",1,"268 Wil",2006,829748156,"educacion cristiana","Vida (2006), Paperback, 448 pages",
"Williams, J. O.","El Predicador del Evangelio y Su Predicación","2","253  Wil",,,"Officio Pastoral","Casa Bautista de Publicaciones",
"Williams, Ralph","La Escuela Dominical : El Corazón de la Iglesia","1","268.43 Wil",,,"Escuela Dominical","Editorial Vida",
"Williamson, G. B.","Pastores del rebaño","1","253 Wil","1950",,"officio pastoral","Libreria Nazarena (1950), Hardcover",
"Willmington, Harold L.","Auxiliar bíblico Portavoz: Willmington's Guide to the Bible",2,"248 Wil",1996,825418747,"auxiliar biblico, referencia","Editorial Portavoz (1996), Hardcover, 992 pages",
"Willmington, Harold L.","Compendio Manual Portavoz",1,"220.02 Wil",2001,"[0311036740]","comentario,Biblia,Nuevo Testamento,Antiguo Testamento","Casa Bautista de Publicaciones (2003), Paperback, 1024 pages",
"Wolf, Herbert","Hageo y Malaquias: rededicacion y renovación",1,"220 Wol",1980,825418755,"hageo,malaquias,","Editorial Portavoz (1980), Paperback, 186 pages",
"Wolff, Ricardo","Israel en Escena","1","220.15 Wol",,,"la Biblia y el Medio Oriente","Editorial Livertador",
"Woodworth, Floyd C.","Escalera de la Predicación, La","4","291 Woo","1974","082970549X","officio pastoral","Vida (1974), Edition: Spanish, Paperback, 144 pages",
"Woodworth, Floyd W.","Hacia el Arte de Escribir","1","465.2 Woo",,,"Redacción","Editorial Vida",
"Woodworth, Floyd W.","Hacia la meta",7,"268.6 Woo",1965,"[0829705627]","metodo de estudio","Vida Publishers (1965), Paperback, 160 pages",
"Woofrow, Ralph","Babilonia, Misterio Religioso (Antiguo Y Moderno)","1","282 Woo","1998","[]","catolicismo","Ralph Woodrow Evangelistic Association (1998), Paperback",
"Wurmbrand, Richard","Cristo en las Prisiones Comunistas","1","298.47 Wur",,,"Biografía","Clie",
"Wurmbrand, Richard","Torturado Por Cristo / Tortured for Christ","1","298.47 Wur","2004","[9589149057]","biografia,persecucion","Christian Literature Crusade (2004), Paperback, 106 pages",
"Wyeth, Walter N.","Emilia C. Judson","1","298.59 Wye",,,"Biografía","Casa Bautista de Publicaciones",
"Yates, Kyle M.","Los Profetas del Antiguo Testamento","1","220.15 Yat","2003",311040268,"profetas,antiguo testamento","Casa Bautista de Publicaciones (2003), Paperback, 313 pages",
"Zuck, Roy","Job: Job (Everyman's Bible Commentary)",1,"220 Zuc",1981,825419751,"comentario biblico,job","Editorial Portavoz (1981), Paperback, 224 pages",
,"A Todo el Mundo, Los Hechos de los Apóstoles","1","220.4 Tod",,,"El libro de los Hechos","Sociedades Bíblicas en América Latina",
,"Atlas Mundial","1","910 Atl",,,"Atlas Mundial","Grolier International, Inc.",
,"Babilonia la Grande Ha Caído! ¡El Reino de Dios Domina!","1","291 Bab",,,"Testigos de Jehová","WatchTower",
,"Basquetbol, Reglas Oficiales","1","796   Bas",,,"Reglas Oficiales del Basquetbol","Ediciones Deportemas",
,"Beisbol, Reglas Oficiales","1","796  Bei",,,"Reglas Oficiales del Beisbol","Ediciones Deportemas",
,"Buenas Nuevas América, Dios te Ama, El NT Nueva Vida, Edición Subrayada",4,"220.4 Bue",,,"nuevo testamento, biblia","Editorial Mundo Hispano",
,"Caminando Con Cristo / Walking with Christ (Discipulado Cristiano)","2","248.7 Dis Vol III","2000",311136524,"discipulado","Casa Bautista de Publicaciones (2000), Paperback, 64 pages",
,"Compañerismo con Cristo 2","2","248 Com",,,"Vida Cristiana"," Los Navegantes",
,"Compendio de Teología Pastoral, La vida de Cristo Basada en el Evangelio según San Mateo","1","230 Com",,,"Teología Pastoral","Facultad Latinoamericana de Estudios Teológicos",
,"Conocimiento de Nuestro Cuerpo y sus Cuidados, Tomo 1","1","610 Mun Vol. 1",,,"Enciclopedia de Nuestro Cuerpo","Munlibros",
,"Conocimiento de Nuestro Cuerpo y sus Cuidados, Tomo 2","1","610 Mun Vol. 2",,,"Enciclopedia de Nuestro Cuerpo","Munlibros",
,"Conocimiento de Nuestro Cuerpo y sus Cuidados, Tomo 3","1","610 Mun Vol. 3",,,"Enciclopedia de Nuestro Cuerpo","Munlibros",
,"Conocimiento de Nuestro Cuerpo y sus Cuidados, Tomo 4","1","610 Mun Vol. 4",,,"Enciclopedia de Nuestro Cuerpo","Munlibros",
,"Constitución","1","285.72 Con",,,"Iglesia Presbiteriana","Publicaciones ""El Faro""",
,"Creacion, Evolucion y el Registro Fosil (Creacion y Ciencia)",1,"213 Gis",1979,8472284654,"ciencia,creacion",,
,"Creciendo en el Discipulado / Growing in Discipleship (Discipulado Cristiano)",3,"248.7 Dis Vol VI",2000,311136559,"discipulado","Casa Bautista de Publicaciones (2000), Paperback, 64 pages",
,"Cristiano De Rodillas, El",1,"264.1 Cri",2008,8472285219,"oracion,vida cristiana","Clie (2008), Paperback, 160 pages",
,"Cristo Amó a la Iglesia","1","262  Cri",,,"La Iglesia","Emmaus",
,"Dar, la Ofrenda en la Biblia","1","248.6 Dar",,,"Dar","Sociedades Bíblicas Unidas",
,"Diccionario de la Santa Biblia",1,"220. 3 Dic",,,"Referencia",,
,"Diccionario Hispánico Universal, Tomo Cuarto","1","403 Jac Vol. 4",,,"Diccionario Enciclopédico Ilustrado Hispano","W. M. Jackson, Inc.",
,"Diccionario Hispánico Universal, Tomo Primero","1","403 Jac Vol. 1",,,"Diccionario Enciclopédico Ilustrado Hispano","W. M. Jackson, Inc.",
,"Diccionario Hispánico Universal, Tomo Segundo","1","403 Jac Vol. 2",,,"Diccionario Enciclopédico Ilustrado Hispano","W. M. Jackson, Inc.",
,"Diccionario Hispánico Universal, Tomo Tercero","1","403 Jac Vol. 3",,,"Diccionario Enciclopédico Ilustrado Hispano","W. M. Jackson, Inc.",
,"Dios Habla",2,"248.5 Dio",,,"Evangelismo","Liga Biblica Mundial del Hogar",
,"Dios Llega Al Hombre (el nuevo testamento, version popular)","1","220.4 Dio","1970",,"biblia,nuevo testamento","Sociedades biblicas Unidas (1970), Edition: Segunda, Paperback",
,"Edicion la Gran Comision del NT, Edicion Subrayada","1","220.4 Edi",,,"nuevo testamento,biblia","Editorial Mundo Hispano",
,"Edicion para evangelismo personal del NT, Biblia de las Americas","1","220.4 Edi",,,"nuevo testamento,biblia","Holman Bible Publishers",
,"El Camino a la Luz, el NT Nueva Version Internacional",2,"220.4 Cam",,,"nuevo testamento,biblia","Sociedad Biblica Internacional",
,"El Caracter del Cristiano / The Character of the Christian (Discipulado Cristiano)","2","248.7 Dis Vol IV","2002",311136591,"discipulado","Casa Bautista de Publicaciones (2002), Paperback, 64 pages",
,"El Diluvio Del Genesis",1,"213 Whi",1982,8472287173,"creacion,ciencia","CLIE PUBLISHERS (1982), Edition: First, Hardcover",
,"El Hombre que Tú Debes Conocer",2,"226.1 Hom",,,"Armonía de los Evangelios Versión Popular","Sociedades Biblicas Unidas",
,"el libro de Dios para la Familia de Hoy, La Biblia RVA","1","220.4 Lib",,,"biblia","Editorial Mundo Hispano",
,"EL Libro del Cuando, Una Respuesta a Todas Vuestras Preguntas","1","900  Lib",,,"Historia sobre Conocimientos Generales","Grijalbo",
,"El libro devocional de Maravillas 1.  60 Días… ¡Que Maravilloso Dios!","1","242.1 Dev",,,"Devocional","Child Evangelism Fellowship",
,"El Ministerio del Creyente II Corintios","1","227.4 Min",,,"2 Corintios","Ediciones las Américas",
,"El Nuevo Testamento","1","220.4 Nue",,,"Nuevo Testamento","Sociedades Bíblicas en América Latina",
,"El Nuevo Testamento","1","220.4 Nue",,,"Nuevo Testamento","Milldale International Ministries",
,"El Nuevo Testamento","1","220.4 Nue",,,"Nuevo Testamento","Mt. Pisgah Baptist Church",
,"El Nuevo Testamento en Mazahua","1","220.3 Maz","1970",,"Nuevo Testamento","la bibliteca Mexicana del Hogar",
,"El Nuevo Testamento, Nueva Versión Internacional","1","220.4 Nue",,,"Nuevo Testamento","Sociedad Bíblica Internacional",
,"El Nuevo Tetamento, Edición Marcada","1","220.4 Nue",,,,"La Preciosa Simiente",
,"El Santo Evangelio Según San Mateo y San Juan","3","226.25 San",,,"Estudio sobre Mateo y Juan",,
,"El Tesoro de la Juventud, Tomo 10","1","403  Tes Vol. 10",,,"Enciclopedia de Conocimientos","W. M. Jackson, Inc.",
,"El Tesoro de la Juventud, Tomo 2","1","403   Tes Vol. 2",,,"Enciclopedia de Conocimientos","W. M. Jackson, Inc.",
,"El Tesoro de la Juventud, Tomo 3","1","403  Tes Vol. 3",,,"Enciclopedia de Conocimientos","W. M. Jackson, Inc.",
,"El Tesoro de la Juventud, Tomo 4","1","403  Tes Vol. 4",,,"Enciclopedia de Conocimientos","W. M. Jackson, Inc.",
,"El Tesoro de la Juventud, Tomo 5","1","403  Tes Vol. 5",,,"Enciclopedia de Conocimientos","W. M. Jackson, Inc.",
,"El Tesoro de la Juventud, Tomo 7","1","403 Tes Vol. 7",,,"Enciclopedia de Conocimientos","W. M. Jackson, Inc.",
,"El Tesoro de la Juventud, Tomo 8","1","403  Tes   Vol. 8",,,"Enciclopedia de Conocimientos","W. M. Jackson, Inc.",
,"El Testamento Nueva Vida, Edición del Estudio","1","220.4 Tes",,,"Nuevo Testamento","Christian Literature International",
,"Enciclopedia Barsa, Tomo 1","1","403   Bar   Vol. 1",,,"Diccionario Enciclopédico","Encyclopaedia Britannica Publishers, Inc.",
,"Enciclopedia Barsa, Tomo 10","1","403  Bar Vol. 10",,,"Diccionario Enciclopédico","Encyclopaedia Britannica Publishers, Inc.",
,"Enciclopedia Barsa, Tomo 11","1","403   Bar  Vol. 11",,,"Diccionario Enciclopédico","Encyclopaedia Britannica Publishers, Inc.",
,"Enciclopedia Barsa, Tomo 12","1","403  Bar  Vol. 12",,,"Diccionario Enciclopédico","Encyclopaedia Britannica Publishers, Inc.",
,"Enciclopedia Barsa, Tomo 13","1","403 Bar  Vol. 13",,,"Diccionario Enciclopédico","Encyclopaedia Britannica Publishers, Inc.",
,"Enciclopedia Barsa, Tomo 14","1","403 Bar  Vol. 14",,,"Diccionario Enciclopédico","Encyclopaedia Britannica Publishers, Inc.",
,"Enciclopedia Barsa, Tomo 15","1","403 Bar  Vol. 15",,,"Diccionario Enciclopédico","Encyclopaedia Britannica Publishers, Inc.",
,"Enciclopedia Barsa, Tomo 16","1","403  Bar Vol. 16",,,"Diccionario Enciclopédico","Encyclopaedia Britannica Publishers, Inc.",
,"Enciclopedia Barsa, Tomo 2","1","403  Bar Vol. 2",,,"Diccionario Enciclopédico","Encyclopaedia Britannica Publishers, Inc.",
,"Enciclopedia Barsa, Tomo 3","1","403  Bar Vol. 3",,,"Diccionario Enciclopédico","Encyclopaedia Britannica Publishers, Inc.",
,"Enciclopedia Barsa, Tomo 4","1","403 Bar Vol. 4",,,"Diccionario Enciclopédico","Encyclopaedia Britannica Publishers, Inc.",
,"Enciclopedia Barsa, Tomo 5","1","403 Bar Vol. 5",,,"Diccionario Enciclopédico","Encyclopaedia Britannica Publishers, Inc.",
,"Enciclopedia Barsa, Tomo 6","1","403 Bar Vol. 6",,,"Diccionario Enciclopédico","Encyclopaedia Britannica Publishers, Inc.",
,"Enciclopedia Barsa, Tomo 7","1","403 Bar Vol. 7",,,"Diccionario Enciclopédico","Encyclopaedia Britannica Publishers, Inc.",
,"Enciclopedia Barsa, Tomo 8","1","403 Bar Vol. 8",,,"Diccionario Enciclopédico","Encyclopaedia Britannica Publishers, Inc.",
,"Enciclopedia Barsa, Tomo 9","1","403 Bar  Vol. 9",,,"Diccionario Enciclopédico","Encyclopaedia Britannica Publishers, Inc.",
,"Enciclopedia Práctica del Estudiante, Enciclopedia Universal Tomo II","1","403 Enc Vol. 2",,,"Referencia","Promexa",
,"Enciclopedia Salvat Diccionario, Tomo 10","1","403 Sal Vol. 10",,,"Diccionario Enciclopédico","Salvat Editores, S. A.","donado por Tap Y Katie Hornor, 2008"
,"Enciclopedia Salvat Diccionario, Tomo 11","1","403  Sal Vol. 11",,,"Diccionario Enciclopédico","Salvat Editores, S. A.",
,"Enciclopedia Salvat Diccionario, Tomo 12","1","403  Sal Vol. 12",,,"Diccionario Enciclopédico","Salvat Editores, S. A.",
,"Enciclopedia Salvat Diccionario, Tomo 7","1","403  Sal Vol. 7",,,"Diccionario Enciclopédico","Salvat Editores, S. A.",
,"Enciclopedia Salvat Diccionario, Tomo 8","1","403  Sal Vol. 8",,,"Diccionario Enciclopédico","Salvat Editores, S. A.",
,"Enciclopedia Salvat Diccionario, Tomo 9","1","403  Sal Vol. 9",,,"Diccionario Enciclopédico","Salvat Editores, S. A.",
,"Enseñanza Biblia sobre el Don de Lenguas",3,"289 Ens",,,"Las Lenguas","Publicaciones La Espada",
,"Epístola del Apóstol San Pablo a los Gálatas, Efesios, Filipenses, Colosenses","1","227.4567  Epi",,,"Estudio sobre Gálatas Efesios, Filipenses y Colosenses",,
,"Epístola del Apóstol San Pablo a los Romanos, 1 y 2 Corintios","13","227.123 Rom",,,"Estudio sobre Romanos, 1 Corintios y 2 Corintios",,
,"Es esta Vida todo cuanto Hay?","2","291  Vid",,,"Testigos de Jehová","WatchTower",
,"Esto Creemos","1","230   Est",,,"Doctrinas Bíblicas","Editorial Moody",
,"Evangelios","1","220.4 Eva",,,"evangelios","secretaria de Educacion Publica",
,"Fundamentos de la Fe / Foundation for Faith (Discipulado Cristiano)","2","248.7 Dis Vol V","2000",311136540,"discipulado","Casa Bautista de Publicaciones (2000), Paperback, 64 pages",
,"Hacia la plenitud cristiana.","29","248.7  Hac",,,"Discipulado","Editorial Unilit",
,"He aquí la Respuesta","2","220.62  Aqu",,,"Preguntas de la Biblia","La Biblioteca Mexicana del Hogar",
,"He aquí las Respuestas de la Biblia","1","220.62 Res",,,"Preguntas y Respuestas Bíblicas","La Liga Bíblica",
,"II Conferencia Profetica",4,"220.15 Con",,,"Profecia","Instituto y Seminario Biblico",
,"Introduccion MS-DOS, Version 5.0","1","005 Int",,,"Computacion","Microsoft Corporation",
,"Jesucristo te Habla, Evangelio de Marcos","2","220.4 Jes",,,"evangelios","Sociedades Biblicas en America Latina",
,"Jesus Salva Nuevo Testamento",1,,"?","[1581350767]",,,
,"Jimbani Eiatsperakua Tata Jesukristueri","1","220.4 Jim",,,"nuevo testamento, tarasco","Liga del Sembrador, A.C.",
,"Jume Apostolim Yaari, Los Hechos de los Apostoles","1","220.4 Jum",,,"nuevo testamento, hechos, mayo","Sociedad Biblica de Mexico",
,"La Biblia de las Americas(LBLA)",1,"220.4 Bib",1997,1885217773,"biblia","Foundation Publications (1997), Edition: LBLA Paperback full-color cover, Paperback, 896 pages",
,"La Biblia en un Año","1","220.4 Bib","1998",945792182,"biblia","Spanish House Inc. (1998), Paperback","donado por Tap Y Katie Hornor, 2008"
,"la Biblia Latinoamericana",1,"220.4 Bib",,,"Biblia Catolica, sectas, religiones falsas","editorial Verbo Divino",
,"La Capa Olvidada y Otros Dramas","1","268.9   Cap",,,"Dramas","Convención Nacional Bautista","donado por Tap Y Katie Hornor, 2008"
,"La Cruz- El Cordero - EL Amor","1","232.3  Cru",,,"Estudio sobre la Obra Redentora de Cristo",,
,"la Luz del Mundo, The Light of the World","3","220.4 Luz",,,"evangelios","Sociedades Biblicas en America Latina",
,"La Nueva Vida en Cristo / Your Life in Christ (Discipulado Cristiano)","1","248.7 Dis Vol I","2000",311136508,"discipulado","Casa Bautista de Publicaciones (2000), Paperback, 48 pages",
,"La Palabra de Dios","4","220.4 Pal",,,"La Biblia","Sociedad Bíblica Internacional",
,"La Palabra de Vida","1","220.4 Pal",,,"Nuevo Testamento","Sociedades Bíblicas en América Latina",
,"La Santa Biblia","1","220.4 San",,,"La Biblia","Sociedades Bíblicas Unidas",
,"La Santa Biblia, 1 de Crónicas","1","220.4 San Vol.11",,,"1 de Crónicas en Lenguaje Braille Español","Sociedades Bíblicas en América Latina",
,"La Santa Biblia, 1 de Reyes","1","220.4 San Vol. 9",,,"1 de Reyes en Lenguaje Braille Español","Sociedades Bíblicas en América Latina",
,"La Santa Biblia, 2 de Reyes","1","220.4 San Vol. 10",,,"2 de Reyes en Lenguaje Braille Español","Sociedades Bíblicas en América Latina","donado por Tap Y Katie Hornor, 2008"
,"La Santa Biblia, Daniel-Amos","1","220.4 San Vol.23",,,"Daniel-Amos en Lenguaje Braille Español","Sociedades Bíblicas en América Latina",
,"La Santa Biblia, Exodo","1","220.4  San  Vol. 2",,,"Exodo en Lenguaje Braille Español","Sociedades Bíblicas en América Latina",
,"La Santa Biblia, Ezequiel 23-48","1","220.4  San  Vol. 22",,,"Ezequiel en Lenguaje Braille Español","Sociedades Bíblicas en América Latina",
,"La Santa Biblia, RVS 1960","1","220.4  Rei",,,"La Biblia","Sociedades Bíblicas Unidas","donado por Tap Y Katie Hornor, 2008"
,"La Singularidad de Jesús","1","232  Sin",,,"Cristo","La Cruzada Estudiantil",
,"La Verdadera Paz y Seguridad…","1","291 Ver",,,"Testigos de Jehová","WatchTower",
,"La Vida Cristocentrica / The Spirit-Filled Christian (Discipulado Cristiano)","1","248.7 Dis Vol II","2000",311136516,"discipulado","Casa Bautista de Publicaciones (2000), Paperback, 64 pages",
